Jefe	ncms	B-JOB
título	ncms	B-REQ
en	sp	O
ingeniería	np00	B-CARR
industrial	np00	I-CARR
.	fp	O

Universitario	ncms	O
título	ncms	B-REQ
en	sp	O
ingeniería	np00	B-CARR
ambiental	np00	I-CARR
.	fp	O

Experiencia	ncfs	O
:	fd	O

En	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
ingeniería	ncms	B-AREA
con	sp	O
2	z	O
años	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Sueldo	ncms	O
:	fd	O
mayor	aqcs	B-SAL
a	sp	I-SAL
S/.10001	zm	I-SAL

Mínimo	rg	O
bachiller	ncms	O
de	sp	O
ingeniería	np00	B-CARR
industrial	np00	I-CARR
,	fc	O
ing	np00	B-CARR
.	fp	I-CARR
mecánica	np00	I-CARR
,	fc	O
ing	np00	B-CARR
.	fp	I-CARR
ambiental	np00	I-CARR
,	fc	O
ing	np00	B-CARR
.	fp	I-CARR
de	sp	I-CARR
higiene	np00	I-CARR
y	cc	I-CARR
seguridad	np00	I-CARR
industrial	np00	I-CARR
y/o	cc	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
.	fp	O

Colegiatura	ncfs	B-REQ
(	fpa	O
deseable	aqcs	O
)	fpt	O
.	fp	O

04	z	O
años	ncmp	O
en	sp	O
puestos	ncmp	O
y	cc	O
funciones	ncfp	O
similares	aqcp	O
.	fp	O

Experiencia	ncfs	O
en	sp	O
obra	ncfs	B-AREA
(	fpa	O
provincia	ncfs	O
)	fpt	O
.	fp	O

Conocimiento	ncms	O
de	sp	O
interpretación	ncmn	O
de	sp	O
las	da0fp	O
normas	ncfp	B-REQ
ISO	np00	I-REQ
9001	z	I-REQ
,	fc	O
ISO	np00	B-REQ
14001	z	I-REQ
,	fc	O
OHSAS	np00	B-REQ
18001	z	I-REQ
.	fp	O

Conocimiento	ncms	O
en	sp	O
sistema	ncms	B-REQ
de	sp	I-REQ
gestión	ncms	I-REQ
de	sp	I-REQ
seguridad	ncfs	I-REQ
,	fc	O
salud	ncfs	B-REQ
ocupacional	aqcs	I-REQ
y	cc	O
medio	pn0ms	B-REQ
ambiente	ncms	I-REQ
.	fp	O

Especialización	ncfs	B-REQ
en	sp	O
seguridad	ncfs	B-REQ
y	cc	I-REQ
salud	ncfs	I-REQ
ocupacional	aqcs	I-REQ
(	fpa	O
deseable	aqcs	O
)	fpt	O
.	fp	O

Conocimiento	ncms	O
en	sp	O
herramientas	ncfp	B-REQ
de	sp	I-REQ
calidad	ncfs	I-REQ
.	fp	O

Nivel	ncms	O
intermedio	aqms	O
en	sp	O
word	np00	B-REQ
,	fc	O
excel	np00	B-REQ
,	fc	O
ms	np00	B-REQ
.	fp	I-REQ
project	np00	I-REQ
,	fc	O
power	np00	B-REQ
point	np00	I-REQ
.	fp	O

Importante	aqcs	O
:	fd	O
registrar	vmn	O
su	dp3cs	O
hoja	ncfs	O
de	sp	O
vida	ncfs	O
en	sp	O
www	np00	B-MISC
.	fp	I-MISC
cartapase	np00	I-MISC
.	fp	I-MISC
com	np00	I-MISC
es	vsi	O
el	da0ms	O
único	ncms	O
medio	aqms	O
de	sp	O
selección	ncms	O
a	sp	O
utilizar	vmn	O
entre	sp	O
la	da0fs	O
empresa	ncfs	O
consultora	aqfs	O
encargada	ncfs	O
del	sp	O
reclutamiento	ncms	O
y	cc	O
el	da0ms	O
cliente	nccs	O
(	fpa	O
China	np00	B-LUG
-	fg	O
Londres	np00	B-LUG
)	fpt	O

