COORDINADOR	ncms	B-JOB
sólidos	aqmp	I-FUN

Plan	ncms	B-FUN
de	sp	I-FUN
manejo	ncms	I-FUN
forestal	aqcs	I-FUN
/	fh	I-FUN
Programa	ncms	I-FUN
de	sp	I-FUN
adecuación	ncfs	I-FUN
y	cc	I-FUN
manejo	ncms	I-FUN
ambiental	aqcs	I-FUN
-	fg	I-FUN
PAMA	np00	I-FUN
.	fp	O

*	fz	O
Acudir	vmn	B-FUN
a	sp	I-FUN
las	da0fp	I-FUN
reuniones	ncfp	I-FUN
con	sp	I-FUN
los	da0mp	I-FUN
supervisores	ncmp	I-FUN
y	cc	I-FUN
representantes	nccp	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
instituciones	ncfp	I-FUN
,	fc	I-FUN
industrias	ncfp	I-FUN
y	cc	I-FUN
mineras	aqfp	I-FUN
para	sp	O
el	da0ms	O
desarrollo	ncms	O
y	cc	O
avance	ncms	O
de	sp	O
los	da0mp	O
estudios	ncmp	O
y	cc	O
otras	di0fp	O
actividades	ncfp	O
relacionados	vmp	O
con	sp	O
el	da0ms	O
área	ncfs	O
.	fp	O

*	fz	O
Cumplir	vmn	B-FUN
con	sp	I-FUN
los	da0mp	I-FUN
objetivos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
y	cc	I-FUN
el	da0ms	I-FUN
desarrollo	ncms	I-FUN
del	sp	I-FUN
área	ncfs	I-FUN
ambiental	aqcs	I-FUN

Maestría	ncfs	B-REQ
Titulado	aqms	I-REQ
en	sp	O
Ingeniería	np00	B-CARR
Ambiental	np00	I-CARR
.	fp	O

Maestría	ncfs	B-REQ
Titulado	aqms	I-REQ
en	sp	O
Ingeniería	np00	B-CARR
Geográfica	np00	I-CARR
.	fp	O

Maestría	ncfs	B-REQ
Titulado	aqms	I-REQ
en	sp	O
Microbiología	np00	B-CARR
y	cc	I-CARR
Parasitología	np00	I-CARR
.	fp	O

Otros	pi0mp	O
Estudios	ncmp	O
:	fd	O
Especialización	ncfs	B-REQ
en	sp	O
con	sp	O
estudios	ncmp	O
de	sp	O
post	aqcn	B-REQ
grado	ncms	I-REQ
y/o	cc	O
especialización	ncfs	B-REQ
en	sp	O
temas	ncmp	O
de	sp	O
medio	dn0ms	B-AREA
ambiente	ncms	I-AREA
.	fp	O

Otros	pi0mp	O
Estudios	ncmp	O
:	fd	O
Diplomado	ncms	B-REQ
en	sp	O
Indispensable	ncms	O
con	sp	O
Conocimiento	ncms	O
en	sp	O
estudios	ncmp	B-REQ
ambientales	aqcp	I-REQ
.	fp	O

Experiencia	ncfs	O
:	fd	O

en	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
Ingeniería	ncfs	B-AREA
con	sp	O
3	z	O
años	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Idioma	ncms	O

Inglés	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O

Manejo	ncms	O
de	sp	O
programas	ncmp	O
:	fd	O

Microsoft	np00	B-REQ
Excel	np00	I-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
,	fc	O
Microsoft	np00	B-REQ
Power	np00	I-REQ
Point	np00	I-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
,	fc	O
Microsoft	np00	B-REQ
Word	np00	I-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

