Supervisor	ncms	B-JOB
los	da0mp	I-FUN
riesgos	ncmp	I-FUN
técnicos	aqmp	I-FUN
,	fc	I-FUN
así	rg	I-FUN
como	cs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
métodos	ncmp	I-FUN
y	cc	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
estimación	ncfs	I-FUN
y	cc	I-FUN
determinación	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
suficiencia	ncfs	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
reservas	ncfp	I-FUN
técnicas	aqfp	I-FUN
y	cc	I-FUN
del	sp	I-FUN
margen	ncms	I-FUN
de	sp	I-FUN
solvencia	ncfs	I-FUN
.	fp	O

Proponer	vmn	B-FUN
mejoras	ncfp	I-FUN
en	sp	I-FUN
la	da0fs	I-FUN
regulación	ncfs	I-FUN
vigente	aqcs	I-FUN
en	sp	I-FUN
materia	ncfs	I-FUN
de	sp	I-FUN
supervisión	ncfs	I-FUN
.	fp	O

Dirigir	vmn	B-FUN
grupos	ncmp	I-FUN
de	sp	I-FUN
trabajo	ncms	I-FUN
o	cc	I-FUN
comisiones	ncfp	I-FUN
por	sp	I-FUN
proyectos	ncmp	I-FUN
específicos	aqmp	I-FUN
de	sp	I-FUN
supervisión	ncfs	I-FUN
y/o	cc	I-FUN
regulación	ncfs	I-FUN
de	sp	I-FUN
empresas	ncfp	I-FUN
de	sp	I-FUN
seguros	ncmp	I-FUN
.	fp	O

Expresar	vmn	B-FUN
opinión	ncfs	I-FUN
de	sp	I-FUN
proyectos	ncmp	I-FUN
normativos	aqmp	I-FUN
propuestos	aqmp	I-FUN
por	sp	I-FUN
otras	di0fp	I-FUN
áreas	ncfp	I-FUN
.	fp	O

Otras	di0fp	O
funciones	ncfp	O
inherentes	aqcp	O
al	sp	O
cargo	ncms	O
o	cc	O
que	pr0cn	O
le	pp3cs	O
sean	vss	O
asignadas	vmp	O
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Requiere	vmi	O
bachiller	ncms	O
o	cc	O
título	ncms	B-REQ
profesional	aqcs	O
en	sp	O
ciencias	np00	B-CARR
actuariales	np00	I-CARR
,	fc	O
economía	np00	B-CARR
,	fc	O
ingeniería	np00	B-CARR
económica	np00	I-CARR
,	fc	O
ingeniería	np00	B-CARR
estadística	np00	I-CARR
o	cc	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
.	fp	O
deseable	aqcs	O
maestría	ncfs	B-REQ
en	sp	O
temas	ncmp	B-REQ
actuariales	aqmp	I-REQ
,	fc	O
estadísticos	aqmp	B-REQ
matemáticos	aqmp	I-REQ
,	fc	O
de	sp	O
gestión	ncms	B-REQ
de	sp	I-REQ
riesgos	ncmp	I-REQ
,	fc	O
económico	aqms	B-REQ
-	fg	I-REQ
administrativos	aqmp	I-REQ
,	fc	O
financieros	aqmp	B-REQ
o	cc	O
de	sp	O
seguros	ncmp	B-REQ
.	fp	O

Con	sp	O
cursos	ncmp	O
de	sp	O
post	aqcn	B-REQ
grado	ncms	I-REQ
o	cc	O
especialización	ncfs	B-REQ
en	sp	O
temas	ncmp	O
actuariales	aqmp	B-AREA
,	fc	O
de	sp	O
gestión	ncms	B-AREA
de	sp	I-AREA
riesgos	ncmp	I-AREA
,	fc	O
estadísticos	aqmp	B-AREA
-	fg	O
matemáticos	aqmp	B-AREA
,	fc	O
financieros	aqmp	B-AREA
,	fc	O
económicos	aqmp	B-AREA
o	cc	O
de	sp	O
seguros	ncmp	B-AREA
.	fp	O

Conocimientos	ncmp	O
a	sp	O
nivel	ncms	O
intermedio	aqms	O
-	fg	O
avanzado	vmp	O
del	sp	O
idioma	ncms	O
inglés	np00	B-REQ
.	fp	O

Conocimiento	ncms	O
en	sp	O
modelación	ncfs	B-REQ
estadística	aqfs	I-REQ
y	cc	O
técnicas	ncfp	B-REQ
actuariales	aqcp	I-REQ
.	fp	O

Manejo	ncms	O
a	sp	O
nivel	ncms	O
intermedio	aqms	O
de	sp	O
Microsoft	np00	B-REQ
Office	np00	I-REQ
.	fp	O

Experiencia	ncfs	O
profesional	aqcs	O
mínima	ncfs	O
de	sp	O
cuatro	z	O
(	fpa	O
4	z	O
)	fpt	O
años	ncmp	O
en	sp	O
el	da0ms	O
campo	ncms	O
actuarial	aqcs	B-AREA
,	fc	O
estadística	ncfs	B-AREA
,	fc	O
matemática	ncfs	B-AREA
aplicada	aqfs	I-AREA
,	fc	O
gestión	ncfs	B-AREA
de	sp	I-AREA
riesgos	ncmp	I-AREA
o	cc	O
áreas	ncfp	O
técnicas	aqfp	O
de	sp	O
seguros	ncmp	B-AREA
,	fc	O
desarrollando	vmg	O
funciones	ncfp	O
o	cc	O
labores	ncfp	O
similares	aqcp	O
a	sp	O
las	da0fp	O
descritas	ncfp	O
en	sp	O
el	da0ms	O
presente	aqcs	O
aviso	ncms	O
.	fp	O
De	sp	O
preferencia	ncfs	O
,	fc	O
experiencia	ncfs	O
profesional	aqcs	O
en	sp	O
el	da0ms	O
campo	ncms	O
técnico	aqms	O
de	sp	O
seguros	ncmp	B-AREA
o	cc	O
actuarial	aqcs	B-AREA
,	fc	O
o	cc	O
en	sp	O
la	da0fs	O
gestión	ncfs	B-FUN
de	sp	I-FUN
riesgos	ncmp	I-FUN
técnicos	aqmp	I-FUN
o	cc	I-FUN
de	sp	I-FUN
seguros	ncmp	I-FUN
,	fc	O
aplicando	vmg	O
conocimientos	ncmp	O
en	sp	O
la	da0fs	O
tarificación	ncfs	B-FUN
de	sp	I-FUN
productos	ncmp	I-FUN
de	sp	I-FUN
seguros	ncmp	I-FUN
,	fc	O
la	da0fs	O
valuación	ncfs	B-FUN
de	sp	I-FUN
reservas	ncfp	I-FUN
técnicas	aqfp	I-FUN
o	cc	O
la	da0fs	O
estimación	ncfs	B-FUN
de	sp	I-FUN
la	da0fs	I-FUN
exposición	ncfs	I-FUN
de	sp	I-FUN
empresas	ncfp	I-FUN
aseguradoras	aqfp	I-FUN
a	sp	I-FUN
riesgos	ncmp	I-FUN
técnicos	aqmp	I-FUN
o	cc	I-FUN
de	sp	I-FUN
seguros	ncmp	I-FUN
.	fp	O

El	da0ms	O
puesto	ncms	O
requiere	vmi	O
elevada	aqfs	O
capacidad	ncfs	O
de	sp	O
análisis	ncms	B-REQ
para	sp	O
plantear	vmn	B-FUN
,	fc	I-FUN
formular	vmn	I-FUN
y	cc	I-FUN
aplicar	vmn	I-FUN
modelos	nccp	I-FUN
de	sp	I-FUN
contenido	ncms	I-FUN
matemático	aqms	I-FUN
o	cc	I-FUN
actuarial	aqcs	I-FUN
,	fc	I-FUN
para	sp	I-FUN
resolver	vmn	I-FUN
problemas	ncmp	I-FUN
económicos	aqmp	I-FUN
y	cc	I-FUN
sociales	aqcp	I-FUN
que	pr0cn	I-FUN
involucran	vmi	I-FUN
riesgos	ncmp	I-FUN
.	fp	O
disposición	ncmn	O
para	sp	O
participar	vmn	B-FUN
en	sp	I-FUN
proyectos	ncmp	I-FUN
a	sp	I-FUN
nivel	ncms	I-FUN
institucional	aqcs	I-FUN
.	fp	O
elevada	aqfs	O
responsabilidad	ncfs	B-REQ
,	fc	O
iniciativa	ncfs	B-REQ
y	cc	O
pro	aqcn	B-REQ
actividad	ncfs	I-REQ
.	fp	O
facilidad	ncfs	O
para	sp	O
la	da0fs	O
expresión	ncfs	B-REQ
oral	aqcs	I-REQ
y	cc	I-REQ
escrita	aqfs	I-REQ
,	fc	O
así	rg	O
como	cs	O
demostradas	aqfp	O
habilidades	ncfp	O
para	sp	O
trabajar	vmn	B-REQ
en	sp	I-REQ
equipo	ncms	I-REQ
y	cc	I-REQ
bajo	sp	I-REQ
presión	ncfs	I-REQ
,	fc	O
e	cc	O
interrelacionarse	vmi	B-REQ
con	sp	I-REQ
profesionales	nccp	I-REQ
de	sp	O
la	da0fs	O
institución	ncfs	O
y	cc	O
fuera	rg	O
de	sp	O
ella	pp3fs	O
.	fp	O

No	rn	O
registrar	vmn	O
deudas	ncfp	O
vigentes	aqcp	O
con	sp	O
calificación	ncfs	O
negativa	aqfs	O
en	sp	O
el	da0ms	O
sistema	ncms	O
financiero	aqms	O
.	fp	O

No	rn	O
estar	van	O
incurso	vmp	O
en	sp	O
la	da0fs	O
directiva	aqfs	O
N	ncfs	O
001	z	O
-	fg	O
2007	z	O
-	fg	O
PCM	np00	O
/	fh	O
SG	np00	O
-	fg	O
Registro	ncms	O
Nacional	aqcs	O
de	sp	O
Sanciones	ncfp	O
de	sp	O
Destitución	ncfs	O
y	cc	O
Despido	ncms	O
.	fp	O

Nota	vmi	O
:	fd	O
los	da0mp	O
postulantes	ncmp	O
preseleccionados	aqmp	O
deberán	vmi	O
pasar	vmn	O
una	di0fs	O
evaluación	ncfs	O
escrita	aqfs	O
,	fc	O
a	sp	O
fin	ncms	O
de	sp	O
evaluar	vmn	O
sus	dp3cp	O
conocimientos	ncmp	O
técnicos	aqmp	O
en	sp	O
los	da0mp	O
temas	ncmp	O
relacionados	aqmp	O
con	sp	O
las	da0fp	O
funciones	ncfp	O
básicas	aqfp	O
a	sp	O
realizar	vmn	O
,	fc	O
así	rg	O
como	cs	O
otras	di0fp	O
evaluaciones	ncfp	O
que	pr0cn	O
la	da0fs	O
posición	ncfs	O
requiera	vsi	O
,	fc	O
para	sp	O
lo	da0ns	O
cual	pr0cs	O
se	p0000	O
les	pp3cp	O
comunicará	vms	O
oportunamente	rg	O
.	fp	O

