Representante	nccs	B-JOB
institución	ncfs	I-FUN
,	fc	I-FUN
la	da0fs	I-FUN
atención	ncfs	I-FUN
de	sp	I-FUN
las	da0fp	I-FUN
necesidades	ncfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
medicos	ncmp	I-FUN
respecto	sp	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
productos	ncmp	I-FUN
o	cc	I-FUN
servicios	ncmp	I-FUN
corporativos	aqmp	I-FUN
.	fp	O

Requerimientos	ncmp	O
:	fd	O

Técnico	ncms	B-REQ
en	sp	O
farmacia	np00	B-CARR
,	fc	O
en	sp	O
enfermería	np00	B-CARR
,	fc	O
en	sp	O
laboratorio	np00	B-CARR
o	cc	O
egresado	ncms	O
de	sp	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
a	sp	O
salud	ncfs	O
:	fd	O
enfermería	np00	B-CARR
,	fc	O
obstetricia	np00	B-CARR
,	fc	O
químicos	np00	B-CARR
-	fg	O
farmaceuticos	np00	B-CARR
,	fc	O
farmacia	np00	B-CARR
,	fc	O
laboratorio	np00	B-CARR
clínico	np00	I-CARR
.	fp	O

Saber	van	O
vender	vmn	B-REQ
y	cc	O
promocionar	vmn	B-REQ
,	fc	O
habilidades	ncfp	O
de	sp	O
negociación	ncfs	B-REQ
y	cc	O
abordaje	ncms	B-REQ
.	fp	O

Excel	np00	B-REQ
a	sp	O
nivel	ncms	O
usuario	aqms	O
(	fpa	O
informes	ncmp	O
,	fc	O
cuadros	ncmp	O
)	fpt	O
,	fc	O
correo	ncms	B-REQ
electrónico	aqms	I-REQ
,	fc	O
internet	ncfs	B-REQ
.	fp	O

Habilidades	ncfp	O
para	sp	O
las	da0fp	O
ventas	ncfp	B-AREA
y	cc	O
que	pr0cn	O
guste	vms	O
del	sp	O
trabajo	ncms	O
de	sp	O
campo	ncms	O
.	fp	O

Disponibilidad	ncfs	O
para	sp	O
desplazarse	vmn	O
por	sp	O
todo	di0ms	O
Lima	np00	B-LUG
.	fp	O

Horario	ncms	O
:	fd	O

De	sp	O
lunes	w	B-DATE
a	sp	I-DATE
viernes	w	I-DATE
de	sp	I-DATE
7:45	w	I-DATE
am	w	I-DATE
a	sp	I-DATE
6	w	I-DATE
pm	w	I-DATE
y	cc	O
sábados	w	B-DATE
de	sp	I-DATE
7:45	w	I-DATE
am	w	I-DATE
a	sp	I-DATE
1	w	I-DATE
pm	w	I-DATE
.	fp	O

