Bibliotecólogo	ncms	B-JOB
recursos	ncmp	I-FUN
de	sp	I-FUN
información	ncfs	I-FUN
que	pr0cn	I-FUN
brinda	vmi	I-FUN
la	da0fs	I-FUN
Biblioteca	ncfs	I-FUN
.	fp	O

*	fz	O
Orientar	vmn	B-FUN
a	sp	I-FUN
los	da0mp	I-FUN
usuarios	ncmp	I-FUN
sobre	sp	I-FUN
las	da0fp	I-FUN
normas	ncfp	I-FUN
y	cc	I-FUN
procedimientos	ncmp	I-FUN
de	sp	I-FUN
atención	ncfs	I-FUN
y	cc	I-FUN
préstamo	ncms	I-FUN
de	sp	I-FUN
materiales	ncmp	I-FUN
académicos	aqmp	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
en	sp	I-FUN
las	da0fp	I-FUN
Charla	ncfp	I-FUN
de	sp	I-FUN
capacitación	ncfs	I-FUN
de	sp	I-FUN
uso	ncms	I-FUN
de	sp	I-FUN
bases	nccp	I-FUN
de	sp	I-FUN
datos	ncmp	I-FUN
académicas	aqmp	I-FUN
.	fp	O

*	fz	O
Realizar	vmn	B-FUN
el	da0ms	I-FUN
préstamo	ncms	I-FUN
y	cc	I-FUN
devolución	ncfs	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
materiales	ncmp	I-FUN
académicos	aqmp	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
en	sp	I-FUN
los	da0mp	I-FUN
módulos	ncmp	I-FUN
de	sp	I-FUN
préstamo	ncms	I-FUN
y	cc	I-FUN
devolución	ncfs	I-FUN
.	fp	O

*	fz	O
Apoyar	vmn	B-FUN
en	sp	I-FUN
el	da0ms	I-FUN
inventario	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
Colección	ncfs	I-FUN
de	sp	I-FUN
Biblioteca	ncfs	I-FUN
.	fp	O

*	fz	O
Verificar	vmn	B-FUN
la	da0fs	I-FUN
información	ncfs	I-FUN
de	sp	I-FUN
multas	ncfp	I-FUN
de	sp	I-FUN
los	da0mp	I-FUN
alumnos	ncmp	I-FUN
para	sp	I-FUN
la	da0fs	I-FUN
emisión	ncfs	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
constancia	ncfs	I-FUN
de	sp	I-FUN
no	rn	I-FUN
adeudos	ncmp	I-FUN
.	fp	O

*	fz	O
Colaborar	vmn	B-FUN
con	sp	I-FUN
el	da0ms	I-FUN
ordenamiento	ncms	I-FUN
topográfico	aqms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
Colección	ncfs	I-FUN

*	fz	O
Colaborar	vmn	B-FUN
en	sp	I-FUN
las	da0fp	I-FUN
actividades	ncfp	I-FUN
de	sp	I-FUN
mantenimiento	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
colección	ncfs	I-FUN
:	fd	I-FUN
Etiquetado	ncms	I-FUN
,	fc	I-FUN
forrado	vmp	I-FUN
y	cc	I-FUN
localización	ncfs	I-FUN
en	sp	I-FUN
estantería	ncfs	I-FUN
.	fp	O

*	fz	O
Reportar	vmn	B-FUN
las	da0fp	I-FUN
incidencias	ncfp	I-FUN
del	sp	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
atención	ncfs	I-FUN
de	sp	I-FUN
Biblioteca	ncfs	I-FUN
.	fp	O

Condiciones	ncfp	O
laborales	aqcp	O

*	fz	O
Ingreso	ncms	O
a	sp	O
planilla	ncfs	B-BEN
con	sp	O
todos	di0mp	B-BEN
los	da0mp	I-BEN
beneficios	ncmp	I-BEN
de	sp	I-BEN
Ley	ncfs	I-BEN
.	fp	O

*	fz	O
Posibilidad	ncfs	O
de	sp	O
realizar	vmi	O
línea	ncfs	B-BEN
de	sp	I-BEN
carrera	ncfs	I-BEN
.	fp	O

